Run,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Alias,ENA_checklist,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,AvgSpotLen,Bases,Bytes,AssemblyName,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE
ERR2026759,WGS,PRJEB19780,SAMEA102725668,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","ena,gs,s3,ncbi","ena,gs.US,s3.us-east-1,ncbi.public",2017-07-05,2018-11-16,ERX2085892,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102725668,ERP021844,Bba0,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575082,ERS1575082,African Arabidopsis thaliana,240,4305752880,1639175541,,,
ERR2026760,WGS,PRJEB19780,SAMEA102728668,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","ena,ncbi,gs,s3","ncbi.public,ena,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085893,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102728668,ERP021844,Meh4,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575086,ERS1575086,African Arabidopsis thaliana,250,4726632750,1579422538,,,
ERR2026761,WGS,PRJEB19780,SAMEA102729418,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"sra,bam","s3,gs,ena,ncbi","ena,gs.US,s3.us-east-1,ncbi.public",2017-07-05,2018-11-16,ERX2085894,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102729418,ERP021844,Meh7,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575087,ERS1575087,African Arabidopsis thaliana,250,5542098250,2022620772,,,
ERR2026762,WGS,PRJEB19780,SAMEA102727918,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","gs,s3,ena,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085895,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102727918,ERP021844,Meh0,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575085,ERS1575085,African Arabidopsis thaliana,240,6278744640,2422676474,,,
ERR2026763,WGS,PRJEB19780,SAMEA102730918,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","ena,ncbi,gs,s3","ena,gs.US,s3.us-east-1,ncbi.public",2017-07-05,2018-11-16,ERX2085896,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102730918,ERP021844,Tah4,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575089,ERS1575089,African Arabidopsis thaliana,250,5732266000,2076692780,,,
ERR2026764,WGS,PRJEB19780,SAMEA102730168,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","ena,gs,ncbi,s3","ena,ncbi.public,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085897,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102730168,ERP021844,Tah0,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575088,ERS1575088,African Arabidopsis thaliana,200,6168904400,3971475219,,,
ERR2026765,WGS,PRJEB19780,SAMEA102732418,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","gs,ncbi,s3,ena","ena,ncbi.public,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085898,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102732418,ERP021844,Taz11,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575091,ERS1575091,African Arabidopsis thaliana,250,6928949250,2571750559,,,
ERR2026766,WGS,PRJEB19780,SAMEA102733168,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"sra,bam","s3,ena,gs,ncbi","ncbi.public,gs.US,s3.us-east-1,ena",2017-07-05,2018-11-16,ERX2085899,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102733168,ERP021844,Taz16,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575092,ERS1575092,African Arabidopsis thaliana,250,5344701250,1912219517,,,
ERR2026767,WGS,PRJEB19780,SAMEA102733918,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"sra,bam","ncbi,ena,gs,s3","ena,ncbi.public,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085900,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102733918,ERP021844,Taz18,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575093,ERS1575093,African Arabidopsis thaliana,250,6603476250,2414427294,,,
ERR2026768,WGS,PRJEB19780,SAMEA102731668,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"sra,bam","ncbi,ena,gs,s3","ncbi.public,ena,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085901,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102731668,ERP021844,Taz0,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575090,ERS1575090,African Arabidopsis thaliana,240,4629827040,1726085362,,,
