study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	instrument_model	library_layout	sample_alias
PRJEB19780	SAMEA102752668	ERS1575118	ERX2085926	ERR2026793	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elk28
PRJEB19780	SAMEA102753418	ERS1575119	ERX2085927	ERR2026794	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elk3
PRJEB19780	SAMEA102754168	ERS1575120	ERX2085928	ERR2026795	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elk5
PRJEB19780	SAMEA102751168	ERS1575116	ERX2085929	ERR2026796	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elk1
PRJEB19780	SAMEA102754918	ERS1575121	ERX2085930	ERR2026797	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	IFr0
PRJEB19780	SAMEA102756418	ERS1575123	ERX2085931	ERR2026798	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Ifr4
PRJEB19780	SAMEA102757168	ERS1575124	ERX2085932	ERR2026799	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Ifr6
PRJEB19780	SAMEA102758668	ERS1575126	ERX2085933	ERR2026800	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Khe32
PRJEB19780	SAMEA102757918	ERS1575125	ERX2085934	ERR2026801	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Khe0
PRJEB19780	SAMEA102759418	ERS1575127	ERX2085935	ERR2026802	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Oua0
PRJEB19780	SAMEA102760168	ERS1575128	ERX2085936	ERR2026803	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Til2
PRJEB19780	SAMEA102755668	ERS1575122	ERX2085937	ERR2026804	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Ifr3
PRJEB19780	SAMEA102764668	ERS1575134	ERX2085938	ERR2026805	Arabidopsis thaliana	Illumina HiSeq 2500	SINGLE	SA-h1
PRJEB19780	SAMEA102765418	ERS1575135	ERX2085939	ERR2026806	Arabidopsis thaliana	Illumina HiSeq 2500	SINGLE	SA-h2
PRJEB19780	SAMEA102766168	ERS1575136	ERX2085940	ERR2026807	Arabidopsis thaliana	Illumina HiSeq 2500	SINGLE	SA-h3
PRJEB19780	SAMEA102766918	ERS1575137	ERX2085941	ERR2026808	Arabidopsis thaliana	Illumina HiSeq 2500	SINGLE	SA-h4
PRJEB19780	SAMEA102767668	ERS1575138	ERX2085942	ERR2026809	Arabidopsis thaliana	Illumina HiSeq 2500	SINGLE	SA-h5
PRJEB19780	SAMEA102763168	ERS1575132	ERX2085943	ERR2026810	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Tanz-1
PRJEB19780	SAMEA102768418	ERS1575139	ERX2085944	ERR2026811	Arabidopsis thaliana	Illumina HiSeq 2500	SINGLE	Tanz-h1
PRJEB19780	SAMEA102769168	ERS1575140	ERX2085945	ERR2026812	Arabidopsis thaliana	Illumina HiSeq 2500	SINGLE	Tanz-h2
PRJEB19780	SAMEA102769918	ERS1575141	ERX2085946	ERR2026813	Arabidopsis thaliana	Illumina HiSeq 2500	SINGLE	Tanz-h3
