AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	isolation_source	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Platform	ReleaseDate	SRA_Study	age	ecotype	geo_loc_name	tissue
198	SAMN10473503	SRX5058500	LM2-17-2	4794	3197	Arabidopsis thaliana	SRR8240179	SRS4074649	LM2-17-2	LM2-17-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473502	SRX5058499	LM2-17-1	5457	3599	Arabidopsis thaliana	SRR8240180	SRS4074648	LM2-17-1	LM2-17-1	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473497	SRX5058498	LG7-13-4	6441	4303	Arabidopsis thaliana	SRR8240181	SRS4074647	LG7-13-4	LG7-13-4	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473496	SRX5058497	LG7-13-3	6270	4176	Arabidopsis thaliana	SRR8240182	SRS4074646	LG7-13-3	LG7-13-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473499	SRX5058496	LLO2-2-2	4505	3004	Arabidopsis thaliana	SRR8240183	SRS4074645	LLO2-2-2	LLO2-2-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473498	SRX5058495	LLO2-2-1	5046	3359	Arabidopsis thaliana	SRR8240184	SRS4074644	LLO2-2-1	LLO2-2-1	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473539	SRX5058494	T2-8-2	5327	3452	Arabidopsis thaliana	SRR8240185	SRS4074643	T2-8-2	T2-8-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473552	SRX5058493	V1-19-3	9484	6278	Arabidopsis thaliana	SRR8240186	SRS4074642	V1-19-3	V1-19-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473538	SRX5058492	T2-8-1	4587	3035	Arabidopsis thaliana	SRR8240187	SRS4074641	T2-8-1	T2-8-1	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473554	SRX5058491	V3-20-2	4725	3157	Arabidopsis thaliana	SRR8240188	SRS4074640	V3-20-2	V3-20-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473526	SRX5058490	SFG-6-1	4602	3016	Arabidopsis thaliana	SRR8240189	SRS4074639	SFG-6-1	SFG-6-1	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
