sra_run	biosample	bioproject	instrument_model	library_layout	oa_id
SRR1945538	SAMN03326382	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2278
SRR1945539	SAMN03326383	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2285
SRR1945540	SAMN03326384	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2286
SRR1945541	SAMN03326385	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2317
SRR1945542	SAMN03326386	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2370
SRR1945543	SAMN03326387	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2412
SRR1945544	SAMN03326388	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG4779
SRR1945545	SAMN03326389	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG4807
SRR1945546	SAMN03326390	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG4826
SRR1945547	SAMN03326391	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG4840
SRR1945548	SAMN03326392	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG4857
SRR1945549	SAMN03326393	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG4884
SRR1945550	SAMN03326394	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG4900
SRR1945551	SAMN03326395	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG4939
SRR1945552	SAMN03326396	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG4958
SRR1945553	SAMN03326397	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5023
SRR1945554	SAMN03326398	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5104
SRR1945555	SAMN03326399	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5151
SRR1945556	SAMN03326400	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5165
SRR1945557	SAMN03326401	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5210
SRR1945558	SAMN03326402	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5236
SRR1945559	SAMN03326403	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5249
SRR1945560	SAMN03326404	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5253
SRR1945561	SAMN03326405	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5276
SRR1945562	SAMN03326406	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5279
SRR1945563	SAMN03326407	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5349
SRR1945564	SAMN03326408	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5353
SRR1945565	SAMN03326409	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5395
SRR1945566	SAMN03326410	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5486
SRR1945567	SAMN03326411	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5577
SRR1945568	SAMN03326412	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5644
SRR1945569	SAMN03326413	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5651
SRR1945570	SAMN03326414	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5717
SRR1945571	SAMN03326415	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5718
SRR1945572	SAMN03326416	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5720
SRR1945573	SAMN03326417	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5726
SRR1945574	SAMN03326418	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5741
SRR1945575	SAMN03326419	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5748
SRR1945576	SAMN03326420	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5757
SRR1945577	SAMN03326421	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5768
SRR1945578	SAMN03326422	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5772
SRR1945579	SAMN03326423	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5776
SRR1945580	SAMN03326424	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5779
SRR1945581	SAMN03326425	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5784
SRR1945582	SAMN03326426	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5798
SRR1945583	SAMN03326427	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5800
SRR1945584	SAMN03326428	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5811
SRR1945585	SAMN03326429	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5822
SRR1945586	SAMN03326430	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG5830
SRR1945587	SAMN03326431	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG5831
SRR1945588	SAMN03326432	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG5832
SRR1945589	SAMN03326433	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG5836
SRR1945590	SAMN03326434	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5837
SRR1945591	SAMN03326435	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG5856
SRR1945592	SAMN03326436	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5860
SRR1945593	SAMN03326437	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5865
SRR1945594	SAMN03326438	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG5867
SRR1945595	SAMN03326439	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5874
SRR1945596	SAMN03326440	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5890
SRR1945597	SAMN03326441	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5893
SRR1945598	SAMN03326442	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5907
SRR1945599	SAMN03326443	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5921
SRR1945600	SAMN03326444	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5950
SRR1945601	SAMN03326445	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5984
SRR1945602	SAMN03326446	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG5993
SRR1945603	SAMN03326447	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6008
SRR1945604	SAMN03326448	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6009
SRR1945605	SAMN03326449	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6010
SRR1945606	SAMN03326450	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6011
SRR1945607	SAMN03326451	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6012
SRR1945608	SAMN03326452	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6013
SRR1945609	SAMN03326453	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6016
SRR1945610	SAMN03326454	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6017
SRR1945611	SAMN03326455	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6019
SRR1945612	SAMN03326456	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6020
SRR1945613	SAMN03326457	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6021
SRR1945614	SAMN03326458	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6022
SRR1945615	SAMN03326459	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6023
SRR1945616	SAMN03326460	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6024
SRR1945617	SAMN03326461	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6025
SRR1945618	SAMN03326462	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6030
SRR1945619	SAMN03326463	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6034
SRR1945620	SAMN03326464	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6035
SRR1945621	SAMN03326465	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6036
SRR1945622	SAMN03326466	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6038
SRR1945623	SAMN03326467	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6039
SRR1945624	SAMN03326468	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6040
SRR1945625	SAMN03326469	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6041
SRR1945626	SAMN03326470	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6042
SRR1945627	SAMN03326471	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6043
SRR1945628	SAMN03326472	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6046
SRR1945629	SAMN03326473	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6064
SRR1945630	SAMN03326474	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6069
SRR1945631	SAMN03326475	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6070
SRR1945632	SAMN03326476	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6071
SRR1945633	SAMN03326477	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6073
SRR1945634	SAMN03326478	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6074
SRR1945635	SAMN03326479	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6076
SRR1945636	SAMN03326480	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6077
SRR1945637	SAMN03326481	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6085
SRR1945638	SAMN03326482	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6086
SRR1945639	SAMN03326483	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6087
SRR1945640	SAMN03326484	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6088
SRR1945641	SAMN03326485	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6090
SRR1945642	SAMN03326486	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6091
SRR1945643	SAMN03326487	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6092
SRR1945644	SAMN03326488	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6094
SRR1945645	SAMN03326489	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6095
SRR1945646	SAMN03326490	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6096
SRR1945647	SAMN03326491	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6097
SRR1945648	SAMN03326492	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6098
SRR1945649	SAMN03326493	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6099
SRR1945650	SAMN03326494	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6100
SRR1945651	SAMN03326495	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6101
