oa_id	dataset	ecotype_id	sample_name	biosample	species	latitude	longitude	elevation	locality	country	country_code	collector	collection_date	collection_notes	cs_number	ploidy	internal_data	pooled_plants
OAKG1254	KG	1254	Tos-82-387	SAMN03326332	Arabidopsis thaliana	59.4333	17.0167		Tos	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS77379			
OAKG1257	KG	1257	Tos-95-393	SAMN03326333	Arabidopsis thaliana	59.4333	17.0167		Tos	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS77380			
OAKG1313	KG	1313	Ängsö-59-422	SAMN03326334	Arabidopsis thaliana	59.5667	16.8667		Ängsö	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS77658			
OAKG1317	KG	1317	Ängsö-74-430	SAMN03326335	Arabidopsis thaliana	59.5667	16.8667		Ängsö	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS76665			
OAKG1552	KG	1552	Sku-30	SAMN03326336	Arabidopsis thaliana	63.0833	18.3667		Sku	SWE	SWE	Jon Ågren	2003-01-01 0:00:00		CS77251			
OAKG1612	KG	1612	Brn-10	SAMN03326337	Arabidopsis thaliana	41.9	-86.583		Brn	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78962			
OAKG1622	KG	1622	Brn-24	SAMN03326338	Arabidopsis thaliana	41.9	-86.583		Brn	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78963			
OAKG1651	KG	1651	DuckLkSP38	SAMN03326339	Arabidopsis thaliana	43.3431	-86.4045		DuckLkSP	USA	USA	Diane Byers	2004-06-04 0:00:00		CS78964			
OAKG1652	KG	1652	DuckLkSP40	SAMN03326340	Arabidopsis thaliana	43.3431	-86.4045		DuckLkSP	USA	USA	Diane Byers	2004-06-04 0:00:00		CS78965			
OAKG1676	KG	1676	Haz-2	SAMN03326341	Arabidopsis thaliana	41.879	-86.607		Haz	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78966			
OAKG1684	KG	1684	Haz-10	SAMN03326342	Arabidopsis thaliana	41.879	-86.607		Haz	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78967			
OAKG1739	KG	1739	KBS-Mac-68	SAMN03326343	Arabidopsis thaliana	42.405	-85.398		KBS-Mackay	USA	USA	Diane Byers	2004-05-29 0:00:00		CS78968			
OAKG1741	KG	1741	KBS-Mac-74	SAMN03326344	Arabidopsis thaliana	42.405	-85.398		KBS-Mackay	USA	USA	Diane Byers	2004-05-29 0:00:00		CS78969			
OAKG1756	KG	1756	Ker-4	SAMN03326345	Arabidopsis thaliana	42.184	-86.358		Ker	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78970			
OAKG1757	KG	1757	Ker-5	SAMN03326346	Arabidopsis thaliana	42.184	-86.358		Ker	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78971			
OAKG1793	KG	1793	L-R-5	SAMN03326347	Arabidopsis thaliana	41.847	-86.67		L-R	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78972			
OAKG1797	KG	1797	L-R-10	SAMN03326348	Arabidopsis thaliana	41.847	-86.67		L-R	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78973			
OAKG1819	KG	1819	Lak-12	SAMN03326349	Arabidopsis thaliana	41.8	-86.67		Lak	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78974			
OAKG1820	KG	1820	Lak-13	SAMN03326350	Arabidopsis thaliana	41.8	-86.67		Lak	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78975			
OAKG1829	KG	1829	Mdn-1	SAMN03326351	Arabidopsis thaliana	42.051	-86.509		Mdn	USA	USA	Diane Byers	2002-05-01 0:00:00		CS77077			
OAKG1834	KG	1834	Mdn-8	SAMN03326352	Arabidopsis thaliana	42.051	-86.509		Mdn	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78976			
OAKG1835	KG	1835	Mdn-10	SAMN03326353	Arabidopsis thaliana	42.051	-86.509		Mdn	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78977			
OAKG1851	KG	1851	MNF-Pot-10	SAMN03326354	Arabidopsis thaliana	43.595	-86.2657		MNF-Potter	USA	USA	Diane Byers	2004-06-05 0:00:00		CS78978			
OAKG1852	KG	1852	MNF-Pot-15	SAMN03326355	Arabidopsis thaliana	43.595	-86.2657		MNF-Potter	USA	USA	Diane Byers	2004-06-05 0:00:00		CS78979			
OAKG1853	KG	1853	MNF-Pot-21	SAMN03326356	Arabidopsis thaliana	43.595	-86.2657		MNF-Potter	USA	USA	Diane Byers	2004-06-05 0:00:00		CS77099			
OAKG1872	KG	1872	MNF-Pot-75	SAMN03326357	Arabidopsis thaliana	43.595	-86.2657		MNF-Potter	USA	USA	Diane Byers	2004-06-05 0:00:00		CS77100			
OAKG1890	KG	1890	MNF-Riv-21	SAMN03326358	Arabidopsis thaliana	43.5139	-86.1859		MNF River	USA	USA	Diane Byers	2004-06-05 0:00:00		CS77101			
OAKG1925	KG	1925	MNF-Che-2	SAMN03326359	Arabidopsis thaliana	43.5251	-86.1843		MNF-Cherry	USA	USA	Diane Byers	2004-06-05 0:00:00		CS77096			
OAKG1942	KG	1942	MNF-Che-47	SAMN03326360	Arabidopsis thaliana	43.5251	-86.1843		MNF-Cherry	USA	USA	Diane Byers	2004-06-05 0:00:00		CS78980			
OAKG1943	KG	1943	MNF-Che-49	SAMN03326361	Arabidopsis thaliana	43.5251	-86.1843		MNF-Cherry	USA	USA	Diane Byers	2004-06-05 0:00:00		CS78981			
