library	run	sample	include	is_sra
SRR1945730	PRJNA273563	OAKG6276	Y	Y
SRR1945731	PRJNA273563	OAKG6284	Y	Y
SRR1945732	PRJNA273563	OAKG6296	Y	Y
SRR1945733	PRJNA273563	OAKG6390	Y	Y
SRR1945734	PRJNA273563	OAKG6396	Y	Y
SRR1945735	PRJNA273563	OAKG6413	Y	Y
SRR1945736	PRJNA273563	OAKG6424	Y	Y
SRR1945737	PRJNA273563	OAKG6434	Y	Y
SRR1945738	PRJNA273563	OAKG6445	Y	Y
SRR1945739	PRJNA273563	OAKG6680	Y	Y
SRR1945740	PRJNA273563	OAKG6739	Y	Y
SRR1945741	PRJNA273563	OAKG6740	Y	Y
SRR1945742	PRJNA273563	OAKG6744	Y	Y
SRR1945743	PRJNA273563	OAKG6749	Y	Y
SRR1945744	PRJNA273563	OAKG6750	Y	Y
SRR1945745	PRJNA273563	OAKG6805	Y	Y
SRR1945746	PRJNA273563	OAKG6806	Y	Y
SRR1945747	PRJNA273563	OAKG6814	Y	Y
SRR1945748	PRJNA273563	OAKG6830	Y	Y
SRR1945749	PRJNA273563	OAKG6897	Y	Y
SRR1945750	PRJNA273563	OAKG6898	Y	Y
SRR1945751	PRJNA273563	OAKG6900	Y	Y
SRR1945752	PRJNA273563	OAKG6901	Y	Y
SRR1945753	PRJNA273563	OAKG6903	Y	Y
SRR1945754	PRJNA273563	OAKG6904		Y
SRR1945755	PRJNA273563	OAKG6907	Y	Y
SRR1945756	PRJNA273563	OAKG6908	Y	Y
SRR1945757	PRJNA273563	OAKG6909	Y	Y
SRR1945758	PRJNA273563	OAKG6911	Y	Y
SRR1945759	PRJNA273563	OAKG6913	Y	Y
SRR1945760	PRJNA273563	OAKG6915	Y	Y
SRR1945761	PRJNA273563	OAKG6917	Y	Y
SRR1945762	PRJNA273563	OAKG6918	Y	Y
SRR1945763	PRJNA273563	OAKG6919	Y	Y
SRR1945764	PRJNA273563	OAKG6920	Y	Y
SRR1945765	PRJNA273563	OAKG6922	Y	Y
SRR1945766	PRJNA273563	OAKG6923	Y	Y
SRR1945767	PRJNA273563	OAKG6924	Y	Y
